,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
0,Melbourne,1,Home,97,2022-03-16,Wednesday,7,MCG,58002,2022,Western Bulldogs,Win,2,26,17,0
1,Western Bulldogs,1,Away,71,2022-03-16,Wednesday,7,MCG,58002,2022,Melbourne,Loss,17,-26,2,4
2,Carlton,1,Home,101,2022-03-17,Thursday,7,MCG,72179,2022,Richmond,Win,5,25,14,2
3,Richmond,1,Away,76,2022-03-17,Thursday,7,MCG,72179,2022,Carlton,Loss,14,-25,5,5
4,St Kilda,1,Home,85,2022-03-18,Friday,8,Docklands,40129,2022,Collingwood,Loss,12,-17,7,2
5,Collingwood,1,Away,102,2022-03-18,Friday,8,Docklands,40129,2022,St Kilda,Win,7,17,12,4
6,Geelong,1,Home,138,2022-03-19,Saturday,2,MCG,54495,2022,Essendon,Win,1,66,18,3
7,Essendon,1,Away,72,2022-03-19,Saturday,2,MCG,54495,2022,Geelong,Loss,18,-66,1,2
8,Greater Western Sydney,1,Home,92,2022-03-19,Saturday,5,Stadium Australia,25572,2022,Sydney,Loss,13,-20,6,3
9,Sydney,1,Away,112,2022-03-19,Saturday,5,Stadium Australia,25572,2022,Greater Western Sydney,Win,6,20,13,2
10,Brisbane Lions,1,Home,80,2022-03-19,Saturday,7,Gabba,25100,2022,Port Adelaide,Win,8,11,11,4
11,Port Adelaide,1,Away,69,2022-03-19,Saturday,7,Gabba,25100,2022,Brisbane Lions,Loss,11,-11,8,3
12,Hawthorn,1,Home,78,2022-03-20,Sunday,1,MCG,38297,2022,North Melbourne,Win,3,20,16,3
13,North Melbourne,1,Away,58,2022-03-20,Sunday,1,MCG,38297,2022,Hawthorn,Loss,16,-20,3,3
14,Adelaide,1,Home,82,2022-03-20,Sunday,4,Adelaide Oval,28186,2022,Fremantle,Loss,10,-1,9,1
15,Fremantle,1,Away,83,2022-03-20,Sunday,4,Adelaide Oval,28186,2022,Adelaide,Win,9,1,10,1
16,West Coast,1,Home,80,2022-03-20,Sunday,5,Perth Stadium,20932,2022,Gold Coast,Loss,15,-27,4,3
17,Gold Coast,1,Away,107,2022-03-20,Sunday,5,Perth Stadium,20932,2022,West Coast,Win,4,27,15,0
