,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition
0,Melbourne,1,Home,97,2022-03-16,Wednesday,7.0,MCG,58002,2022,Western Bulldogs,Win,2
1,Western Bulldogs,1,Away,71,2022-03-16,Wednesday,7.0,MCG,58002,2022,Melbourne,Loss,17
2,Carlton,1,Home,101,2022-03-17,Thursday,7.0,MCG,72179,2022,Richmond,Win,5
3,Richmond,1,Away,76,2022-03-17,Thursday,7.0,MCG,72179,2022,Carlton,Loss,14
4,St Kilda,1,Home,85,2022-03-18,Friday,8.0,Docklands,40129,2022,Collingwood,Loss,12
5,Collingwood,1,Away,102,2022-03-18,Friday,8.0,Docklands,40129,2022,St Kilda,Win,7
6,Geelong,1,Home,138,2022-03-19,Saturday,2.0,MCG,54495,2022,Essendon,Win,1
7,Essendon,1,Away,72,2022-03-19,Saturday,2.0,MCG,54495,2022,Geelong,Loss,18
8,Greater Western Sydney,1,Home,92,2022-03-19,Saturday,5.0,Stadium Australia,25572,2022,Sydney,Loss,13
9,Sydney,1,Away,112,2022-03-19,Saturday,5.0,Stadium Australia,25572,2022,Greater Western Sydney,Win,6
10,Brisbane Lions,1,Home,80,2022-03-19,Saturday,7.0,Gabba,25100,2022,Port Adelaide,Win,8
11,Port Adelaide,1,Away,69,2022-03-19,Saturday,7.0,Gabba,25100,2022,Brisbane Lions,Loss,11
12,Hawthorn,1,Home,78,2022-03-20,Sunday,1.0,MCG,38297,2022,North Melbourne,Win,3
13,North Melbourne,1,Away,58,2022-03-20,Sunday,1.0,MCG,38297,2022,Hawthorn,Loss,16
14,Adelaide,1,Home,82,2022-03-20,Sunday,4.0,Adelaide Oval,28186,2022,Fremantle,Loss,10
15,Fremantle,1,Away,83,2022-03-20,Sunday,4.0,Adelaide Oval,28186,2022,Adelaide,Win,9
16,West Coast,1,Home,80,2022-03-20,Sunday,5.0,Perth Stadium,20932,2022,Gold Coast,Loss,15
17,Gold Coast,1,Away,107,2022-03-20,Sunday,5.0,Perth Stadium,20932,2022,West Coast,Win,4
18,Western Bulldogs,2,Home,90,2022-03-24,Thursday,7.0,Docklands,34961,2022,Carlton,Loss,13
19,Carlton,2,Away,102,2022-03-24,Thursday,7.0,Docklands,34961,2022,Western Bulldogs,Win,6
20,Sydney,2,Home,107,2022-03-25,Friday,8.0,SCG,36578,2022,Geelong,Win,3
